1,776,4,1,17.00,28505.09,0.04,0.02,'N','O','1996-03-13 00:00:00','1996-02-12 00:00:00','1996-03-22 00:00:00','DELIVER IN PERSON','TRUCK','blithely regular ideas caj'
1,337,38,2,36.00,44543.88,0.09,0.06,'N','O','1996-04-12 00:00:00','1996-02-28 00:00:00','1996-04-20 00:00:00','TAKE BACK RETURN','MAIL','slyly bold pinto beans detect s'
1,319,20,3,8.00,9754.48,0.10,0.02,'N','O','1996-01-29 00:00:00','1996-03-05 00:00:00','1996-01-31 00:00:00','TAKE BACK RETURN','REG AIR','deposits wake furiously dogged,'
1,11,24,4,28.00,25508.28,0.09,0.06,'N','O','1996-04-21 00:00:00','1996-03-30 00:00:00','1996-05-16 00:00:00','NONE','AIR','even ideas haggle. even, bold reque'
1,121,14,5,24.00,24506.88,0.10,0.04,'N','O','1996-03-30 00:00:00','1996-03-14 00:00:00','1996-04-01 00:00:00','NONE','FOB','carefully final gr'
1,79,6,6,32.00,31330.24,0.07,0.02,'N','O','1996-01-30 00:00:00','1996-02-07 00:00:00','1996-02-03 00:00:00','DELIVER IN PERSON','MAIL','furiously regular accounts haggle bl'
2,531,26,1,38.00,54398.14,0.00,0.05,'N','O','1997-01-28 00:00:00','1997-01-14 00:00:00','1997-02-02 00:00:00','TAKE BACK RETURN','RAIL','carefully ironic platelets against t'
3,22,9,1,45.00,41490.90,0.06,0.00,'R','F','1994-02-02 00:00:00','1994-01-04 00:00:00','1994-02-23 00:00:00','NONE','AIR','blithely s'
3,96,36,2,49.00,48808.41,0.10,0.00,'R','F','1993-11-09 00:00:00','1993-12-20 00:00:00','1993-11-24 00:00:00','TAKE BACK RETURN','RAIL','final, regular pinto'
3,643,42,3,27.00,41678.28,0.06,0.07,'A','F','1994-01-16 00:00:00','1993-11-22 00:00:00','1994-01-23 00:00:00','DELIVER IN PERSON','SHIP','carefully silent pinto beans boost fur'
3,147,12,4,2.00,2094.28,0.01,0.06,'A','F','1993-12-04 00:00:00','1994-01-07 00:00:00','1994-01-01 00:00:00','NONE','TRUCK','fluffily unusual deposits hag'
3,916,7,5,28.00,50873.48,0.04,0.00,'R','F','1993-12-14 00:00:00','1994-01-10 00:00:00','1994-01-01 00:00:00','TAKE BACK RETURN','FOB','blithely pending platelets according'
3,311,16,6,26.00,31494.06,0.10,0.02,'A','F','1993-10-29 00:00:00','1993-12-18 00:00:00','1993-11-04 00:00:00','TAKE BACK RETURN','RAIL','ideas until the unusual packages c'
4,441,2,1,30.00,40243.20,0.03,0.08,'N','O','1996-01-10 00:00:00','1995-12-14 00:00:00','1996-01-18 00:00:00','DELIVER IN PERSON','REG AIR','special dependencies am'
5,543,44,1,15.00,21653.10,0.02,0.04,'R','F','1994-10-31 00:00:00','1994-08-31 00:00:00','1994-11-20 00:00:00','NONE','AIR','unusual, even instructio'
5,620,21,2,26.00,39536.12,0.07,0.08,'R','F','1994-10-16 00:00:00','1994-09-25 00:00:00','1994-10-19 00:00:00','NONE','FOB','blithely even accoun'
5,188,4,3,50.00,54409.00,0.08,0.03,'A','F','1994-08-08 00:00:00','1994-10-13 00:00:00','1994-08-26 00:00:00','DELIVER IN PERSON','AIR','express platelets integr'
6,699,25,1,37.00,59188.53,0.08,0.03,'A','F','1992-04-27 00:00:00','1992-05-15 00:00:00','1992-05-02 00:00:00','TAKE BACK RETURN','TRUCK','ruthlessly unusual warhorses sleep slyly af'
7,911,2,1,12.00,21742.92,0.07,0.03,'N','O','1996-05-07 00:00:00','1996-03-13 00:00:00','1996-06-03 00:00:00','TAKE BACK RETURN','FOB','pending requests sleep furiously above'
7,727,4,2,9.00,14649.48,0.08,0.08,'N','O','1996-02-01 00:00:00','1996-03-02 00:00:00','1996-02-19 00:00:00','TAKE BACK RETURN','SHIP','carefully spe'
7,474,17,3,46.00,63225.62,0.10,0.07,'N','O','1996-01-15 00:00:00','1996-03-27 00:00:00','1996-02-03 00:00:00','COLLECT COD','MAIL','carefully exp'
7,816,17,4,28.00,48070.68,0.03,0.04,'N','O','1996-03-21 00:00:00','1996-04-08 00:00:00','1996-04-20 00:00:00','NONE','FOB','final deposits are quickly. furiously even'
7,760,42,5,38.00,63108.88,0.08,0.01,'N','O','1996-02-11 00:00:00','1996-02-24 00:00:00','1996-02-18 00:00:00','DELIVER IN PERSON','TRUCK','blithely expres'
7,397,17,6,35.00,45408.65,0.06,0.03,'N','O','1996-01-16 00:00:00','1996-02-23 00:00:00','1996-01-22 00:00:00','TAKE BACK RETURN','FOB','blithely silent accoun'
7,787,42,7,5.00,8438.90,0.04,0.02,'N','O','1996-02-10 00:00:00','1996-03-26 00:00:00','1996-02-13 00:00:00','NONE','FOB','furiously pending theodolit'
32,414,5,1,28.00,36803.48,0.05,0.08,'N','O','1995-10-23 00:00:00','1995-08-27 00:00:00','1995-10-26 00:00:00','TAKE BACK RETURN','TRUCK','ironic requests dazzle. final d'
32,990,22,2,32.00,60511.68,0.02,0.00,'N','O','1995-08-14 00:00:00','1995-10-07 00:00:00','1995-08-27 00:00:00','COLLECT COD','AIR','regular accounts cajole'
